rangesparramatta,year2006,year2016
$150-$174,739,799
$175-$199,968,496
$200-$224,1624,833
$225-$249,1186,473
$250-$274,1885,651
$275-$299,1629,808
$300-$449,13290,7618
$450-$549,4162,7438
