rangesparramatta,year2006,year2016
$150-$174,737,619
$175-$199,1255,349
$200-$224,2804,562
$225-$249,2200,366
$250-$274,2517,580
$275-$299,1571,344
$300-$449,2311,10202
$450-$549,150,8965
